1(8e)       1   0.226   0.226   0.226   17.301  3.910   3.910   3.910   3.686   0.833   0.833   0.833
2(16e)      1   0.315   0.315   0.315   62.829  19.791  19.791  19.791  9.730   3.065   3.065   3.065
4(32e)      1   1.180   1.180   1.180   179.935 212.323 212.323 212.323 10.147  11.974  11.974  11.974
8(64e)      1   4.488   4.488   4.488   ?       ?       ?       ?       21.217  95.222  95.222  95.222 

#16(128e)    1   22.183  22.183  22.183  ?       ?       ?       ?       44.594  989.228 989.228 989.228
