1(48)   1.00   958.64   1089.49   1024.07  1.03   944.62  1034.58   989.60
2(96)   1.95   517.13    532.92    525.03  2.23   454.79   462.99   458.89
4(192)  3.07   324.68    341.78    333.23  3.57   282.06   291.21   286.64
